Store,Dept,Date, Weekly_Sales 
1,1,02/11/2012," 18,962.45 "
1,1,09/11/2012," 18,962.45 "
1,1,16/11/2012," 18,962.45 "
1,1,23/11/2012," 20,791.07 "
1,1,30/11/2012," 20,791.07 "
1,1,07/12/2012," 21,042.22 "
1,1,14/12/2012," 21,042.22 "
1,1,21/12/2012," 22,715.68 "
1,1,28/12/2012," 18,087.07 "
1,1,04/01/2013," 17,190.27 "
1,1,11/01/2013," 17,190.27 "
1,1,18/01/2013," 17,190.27 "
1,1,25/01/2013," 17,190.27 "
1,1,01/02/2013," 18,962.45 "
1,1,08/02/2013," 18,962.45 "
1,1,15/02/2013," 18,962.45 "
1,1,22/02/2013," 18,962.45 "
1,1,01/03/2013," 18,962.45 "
1,1,08/03/2013," 18,962.45 "
1,1,15/03/2013," 18,962.45 "
1,1,22/03/2013," 19,272.31 "
1,1,29/03/2013," 18,962.45 "
1,1,05/04/2013," 19,272.31 "
1,1,12/04/2013," 18,962.45 "
1,1,19/04/2013," 18,962.45 "
1,1,26/04/2013," 18,962.45 "
1,1,03/05/2013," 20,428.92 "
1,1,10/05/2013," 20,428.92 "
1,1,17/05/2013," 20,428.92 "
1,1,24/05/2013," 20,762.75 "
1,1,31/05/2013," 20,762.75 "
1,1,07/06/2013," 20,428.92 "
1,1,14/06/2013," 20,428.92 "
1,1,21/06/2013," 20,428.92 "
1,1,28/06/2013," 20,428.92 "
1,1,05/07/2013," 20,762.75 "
1,1,12/07/2013," 20,428.92 "
1,1,19/07/2013," 20,428.92 "
1,1,26/07/2013," 20,428.92 "
1,2,02/11/2012," 33,754.06 "
1,2,09/11/2012," 33,754.06 "
1,2,16/11/2012," 33,754.06 "
1,2,23/11/2012," 36,009.57 "
1,2,30/11/2012," 36,009.57 "
1,2,07/12/2012," 36,444.55 "
1,2,14/12/2012," 36,444.55 "
1,2,21/12/2012," 39,342.94 "
1,2,28/12/2012," 31,326.31 "
1,2,04/01/2013," 30,599.50 "
1,2,11/01/2013," 30,599.50 "
1,2,18/01/2013," 30,599.50 "
1,2,25/01/2013," 30,599.50 "
1,2,01/02/2013," 33,754.06 "
1,2,08/02/2013," 33,754.06 "
1,2,15/02/2013," 33,754.06 "
1,2,22/02/2013," 33,754.06 "
1,2,01/03/2013," 33,754.06 "
1,2,08/03/2013," 33,754.06 "
1,2,15/03/2013," 33,754.06 "
1,2,22/03/2013," 34,305.63 "
1,2,29/03/2013," 33,754.06 "
1,2,05/04/2013," 34,305.63 "
1,2,12/04/2013," 33,754.06 "
1,2,19/04/2013," 33,754.06 "
1,2,26/04/2013," 33,754.06 "
1,2,03/05/2013," 36,364.45 "
1,2,10/05/2013," 36,364.45 "
1,2,17/05/2013," 36,364.45 "
1,2,24/05/2013," 36,958.69 "
1,2,31/05/2013," 36,958.69 "
1,2,07/06/2013," 36,364.45 "
1,2,14/06/2013," 36,364.45 "
1,2,21/06/2013," 36,364.45 "
1,2,28/06/2013," 36,364.45 "
1,2,05/07/2013," 36,958.69 "
1,2,12/07/2013," 36,364.45 "
1,2,19/07/2013," 36,364.45 "
1,2,26/07/2013," 36,364.45 "
1,3,02/11/2012," 14,155.72 "
1,3,09/11/2012," 14,155.72 "
1,3,16/11/2012," 14,155.72 "
1,3,23/11/2012," 16,088.20 "
1,3,30/11/2012," 16,088.20 "
1,3,07/12/2012," 16,282.54 "
1,3,14/12/2012," 16,282.54 "
1,3,21/12/2012," 17,577.47 "
1,3,28/12/2012," 13,995.83 "
1,3,04/01/2013," 12,757.39 "
1,3,11/01/2013," 12,757.39 "
1,3,18/01/2013," 12,757.39 "
1,3,25/01/2013," 12,757.39 "
1,3,01/02/2013," 14,072.57 "
1,3,08/02/2013," 14,072.57 "
1,3,15/02/2013," 14,072.57 "
1,3,22/02/2013," 14,072.57 "
1,3,01/03/2013," 14,072.57 "
1,3,08/03/2013," 14,072.57 "
1,3,15/03/2013," 14,072.57 "
1,3,22/03/2013," 14,302.53 "
1,3,29/03/2013," 14,072.57 "
1,3,05/04/2013," 14,302.53 "
1,3,12/04/2013," 14,072.57 "
1,3,19/04/2013," 14,072.57 "
1,3,26/04/2013," 14,072.57 "
1,3,03/05/2013," 15,847.84 "
1,3,10/05/2013," 15,847.84 "
1,3,17/05/2013," 15,847.84 "
1,3,24/05/2013," 16,106.81 "
1,3,31/05/2013," 16,106.81 "
1,3,07/06/2013," 15,847.84 "
1,3,14/06/2013," 15,847.84 "
1,3,21/06/2013," 15,847.84 "
1,3,28/06/2013," 15,847.84 "
1,3,05/07/2013," 16,106.81 "
1,3,12/07/2013," 18,184.25 "
1,3,19/07/2013," 18,184.25 "
1,3,26/07/2013," 18,184.25 "
1,4,02/11/2012," 21,955.88 "
1,4,09/11/2012," 21,955.88 "
1,4,16/11/2012," 21,955.88 "
1,4,23/11/2012," 23,852.30 "
1,4,30/11/2012," 23,852.30 "
1,4,07/12/2012," 24,140.42 "
1,4,14/12/2012," 24,140.42 "
1,4,21/12/2012," 26,060.28 "
1,4,28/12/2012," 20,750.17 "
1,4,04/01/2013," 19,903.95 "
1,4,11/01/2013," 19,903.95 "
1,4,18/01/2013," 19,903.95 "
1,4,25/01/2013," 19,903.95 "
1,4,01/02/2013," 21,955.88 "
1,4,08/02/2013," 21,955.88 "
1,4,15/02/2013," 21,955.88 "
1,4,22/02/2013," 21,955.88 "
1,4,01/03/2013," 21,955.88 "
1,4,08/03/2013," 21,955.88 "
1,4,15/03/2013," 21,955.88 "
1,4,22/03/2013," 22,314.66 "
1,4,29/03/2013," 21,955.88 "
1,4,05/04/2013," 22,314.66 "
1,4,12/04/2013," 21,955.88 "
1,4,19/04/2013," 21,955.88 "
1,4,26/04/2013," 21,955.88 "
1,4,03/05/2013," 24,725.64 "
1,4,10/05/2013," 24,725.64 "
1,4,17/05/2013," 24,725.64 "
1,4,24/05/2013," 25,129.68 "
1,4,31/05/2013," 25,129.68 "
1,4,07/06/2013," 24,725.64 "
1,4,14/06/2013," 24,725.64 "
1,4,21/06/2013," 24,725.64 "
1,4,28/06/2013," 24,725.64 "
1,4,05/07/2013," 25,129.68 "
1,4,12/07/2013," 24,725.64 "
1,4,19/07/2013," 24,725.64 "
1,4,26/07/2013," 24,725.64 "
1,5,02/11/2012," 18,421.69 "
1,5,09/11/2012," 18,963.12 "
1,5,16/11/2012," 18,963.12 "
1,5,23/11/2012," 24,410.57 "
1,5,30/11/2012," 24,410.57 "
1,5,07/12/2012," 24,705.44 "
1,5,14/12/2012," 24,705.44 "
1,5,21/12/2012," 26,670.23 "
1,5,28/12/2012," 21,235.83 "
1,5,04/01/2013," 16,700.05 "
1,5,11/01/2013," 16,700.05 "
1,5,18/01/2013," 16,700.05 "
1,5,25/01/2013," 16,700.05 "
1,5,01/02/2013," 18,421.69 "
1,5,08/02/2013," 18,421.69 "
1,5,15/02/2013," 18,421.69 "
1,5,22/02/2013," 18,421.69 "
1,5,01/03/2013," 18,421.69 "
1,5,08/03/2013," 18,421.69 "
1,5,15/03/2013," 18,421.69 "
1,5,22/03/2013," 18,722.72 "
